"","TAHUN","NAMA PROVINSI","NAMA KABUPATEN/KOTA","NAMA KECAMATAN","NAMA KELURAHAN","LUAS WILAYAH (KM2)","KEPADATAN (JIWA/KM2)","DEMOGRAFIK","JUMLAH","RENTANG UMUR","JENIS KELAMIN"
"1",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. PANGGANG",0.91,6779,"35-39 Laki-Laki",231,"35-39","Laki-Laki"
"2",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. KELAPA",3.76,1705,"35-39 Laki-Laki",84,"35-39","Laki-Laki"
"3",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU UTR","P. HARAPAN",3.59,628,"35-39 Laki-Laki",255,"35-39","Laki-Laki"
"4",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. UNTUNG JAWA",0.59,3625,"35-39 Laki-Laki",199,"35-39","Laki-Laki"
"5",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. TIDUNG",1.57,3084,"35-39 Laki-Laki",98,"35-39","Laki-Laki"
"6",2013,"PROVINSI DKI JAKARTA","KAB.ADM.KEP.SERIBU","KEP. SERIBU SLT","P. PARI",1.39,1968,"35-39 Laki-Laki",113,"35-39","Laki-Laki"
"7",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR",2.58,1350,"35-39 Laki-Laki",166,"35-39","Laki-Laki"
"8",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG",1.26,14584,"35-39 Laki-Laki",850,"35-39","Laki-Laki"
"9",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA",1.12,18987,"35-39 Laki-Laki",954,"35-39","Laki-Laki"
"10",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN",1.14,14465,"35-39 Laki-Laki",752,"35-39","Laki-Laki"
"11",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA",0.78,15890,"35-39 Laki-Laki",592,"35-39","Laki-Laki"
"12",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",0.72,35628,"35-39 Laki-Laki",1213,"35-39","Laki-Laki"
"13",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",1.89,8041,"35-39 Laki-Laki",714,"35-39","Laki-Laki"
"14",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",0.51,63122,"35-39 Laki-Laki",1575,"35-39","Laki-Laki"
"15",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI",0.55,49862,"35-39 Laki-Laki",1307,"35-39","Laki-Laki"
"16",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",1.98,9933,"35-39 Laki-Laki",817,"35-39","Laki-Laki"
"17",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN",1.29,26203,"35-39 Laki-Laki",1683,"35-39","Laki-Laki"
"18",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN",0.55,44202,"35-39 Laki-Laki",1164,"35-39","Laki-Laki"
"19",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG",1.13,28014,"35-39 Laki-Laki",1644,"35-39","Laki-Laki"
"20",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA",0.91,29205,"35-39 Laki-Laki",1256,"35-39","Laki-Laki"
"21",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG",0.82,41837,"35-39 Laki-Laki",1603,"35-39","Laki-Laki"
"22",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",0.53,43858,"35-39 Laki-Laki",1071,"35-39","Laki-Laki"
